-3,1023,22
0,1021,26
10,1015,41.2
20,1008,56.6
30,1002,72.4
40,995,88.5
50,989,105
60,982,121.8
70,975,139
80,969,156.5
90,962,174.4
100,955,192.6
110,948,211.1
120,941,230
130,934,249.3
140,928,268.9
150,921,288.8
160,914,309.1
170,907,329.8
180,899,350.9
190,892,372.3
200,885,394
210,878,416.1
220,870,438.6
230,863,461.5
240,856,484.7
250,848,508.3
260,840,532.3
270,832,556.7
280,825,581.4
290,817,606.5
300,809,632
310,800,657.9
320,792,684.2
330,783,710.8
340,775,737.9
350,766,765.4
360,757,793.2
370,748,821.5
